timestamp,user,src_ip,dst_ip,bytes_sent,resource_path
2026-04-14T09:12:01Z,user_101@enterprise.com,10.1.2.3,8.8.8.8,20480,/docs/handbook.pdf
2026-04-14T09:13:22Z,user_772@enterprise.com,10.1.2.4,8.8.4.4,102400,/finance/reports/q1_summary.pdf
2026-04-14T09:14:10Z,user_303@enterprise.com,10.1.2.5,8.8.8.8,51200,/projects/roadmap.xlsx
2026-04-14T09:15:44Z,user_404@enterprise.com,10.1.2.6,8.8.4.4,40960,/hr/policies/leave_policy.pdf
2026-04-14T09:16:33Z,user_505@enterprise.com,10.1.2.7,8.8.8.8,30720,/engineering/designs/spec_v2.pdf
2026-04-14T09:17:12Z,user_606@enterprise.com,10.1.2.8,8.8.4.4,20480,/legal/contracts/nda.pdf
2026-04-14T09:18:01Z,user_707@enterprise.com,10.1.2.9,8.8.8.8,102400,/marketing/campaigns/2026_launch.pdf
2026-04-14T09:19:22Z,user_808@enterprise.com,10.1.2.10,8.8.4.4,51200,/support/tickets/closed.csv
2026-04-14T09:20:10Z,user_909@enterprise.com,10.1.2.11,8.8.8.8,40960,/rnd/experiments/exp_alpha.txt
2026-04-14T09:21:44Z,user_010@enterprise.com,10.1.2.12,8.8.4.4,30720,/docs/meeting_notes.txt
2026-04-14T09:22:33Z,user_111@enterprise.com,10.1.2.13,8.8.8.8,20480,/finance/budget/2026_plan.xlsx
2026-04-14T09:23:12Z,user_222@enterprise.com,10.1.2.14,8.8.4.4,102400,/projects/updates/status.csv
2026-04-14T09:24:01Z,user_333@enterprise.com,10.1.2.15,8.8.8.8,51200,/hr/benefits/summary.pdf
2026-04-14T09:25:22Z,user_444@enterprise.com,10.1.2.16,8.8.4.4,40960,/engineering/blueprints/plan.pdf
2026-04-14T09:26:10Z,user_555@enterprise.com,10.1.2.17,8.8.8.8,30720,/legal/cases/case123.pdf
2026-04-14T09:27:44Z,user_666@enterprise.com,10.1.2.18,8.8.4.4,20480,/rnd/notes/brainstorm.txt
